TradeID,Broker,Symbol,Quantity,Price,TradeTimestamp
TRD-APE-10000,Apex_Securities,AMZN,257,160.19,2026-05-11 01:02:18
TRD-APE-10001,Apex_Securities,AAPL,288,163.4,2026-05-11 05:48:56
TRD-APE-10002,Apex_Securities,MSFT,323,498.95,2026-05-11 14:16:01
TRD-APE-10003,Apex_Securities,GOOGL,150,300.73,2026-05-11 05:06:45
TRD-APE-10004,Apex_Securities,AMZN,265,132.13,2026-05-11 08:39:59
TRD-APE-10005,Apex_Securities,GOOGL,386,99.93,2026-05-11 14:49:45
TRD-APE-10006,Apex_Securities,AAPL,119,317.68,2026-05-10 21:42:05
TRD-APE-10007,Apex_Securities,AAPL,280,127.75,2026-05-10 22:19:27
TRD-APE-10008,Apex_Securities,AMZN,12,467.34,2026-05-10 20:10:12
TRD-APE-10009,Apex_Securities,MSFT,12,350.29,2026-05-11 00:38:43
TRD-APE-10010,Apex_Securities,MSFT,232,197.46,2026-05-10 19:35:22
TRD-APE-10011,Apex_Securities,AAPL,355,87.78,2026-05-10 20:10:49
TRD-APE-10012,Apex_Securities,AMZN,475,51.75,2026-05-11 16:31:10
TRD-APE-10013,Apex_Securities,GOOGL,375,82.72,2026-05-11 16:12:13
TRD-APE-10014,Apex_Securities,TSLA,316,67.52,2026-05-11 02:33:41
TRD-APE-10015,Apex_Securities,MSFT,329,441.09,2026-05-11 02:57:08
TRD-APE-10016,Apex_Securities,AAPL,417,93.55,2026-05-11 01:12:31
TRD-APE-10017,Apex_Securities,AAPL,315,148.15,2026-05-10 22:37:19
TRD-APE-10018,Apex_Securities,AMZN,442,362.14,2026-05-10 19:54:56
TRD-APE-10019,Apex_Securities,MSFT,148,499.38,2026-05-11 12:53:16
TRD-APE-10020,Apex_Securities,TSLA,433,162.45,2026-05-11 11:44:33
TRD-APE-10021,Apex_Securities,MSFT,461,434.33,2026-05-11 10:09:54
TRD-APE-10022,Apex_Securities,GOOGL,218,149.23,2026-05-11 10:21:09
TRD-APE-10023,Apex_Securities,AAPL,449,228.95,2026-05-10 21:30:37
TRD-APE-10024,Apex_Securities,AAPL,257,463.3,2026-05-11 02:13:14
TRD-APE-10025,Apex_Securities,TSLA,51,231.2,2026-05-11 06:26:55
TRD-APE-10026,Apex_Securities,AMZN,307,215.32,2026-05-10 18:23:07
TRD-APE-10027,Apex_Securities,AAPL,203,279.96,2026-05-11 17:05:23
TRD-APE-10028,Apex_Securities,GOOGL,236,142.55,2026-05-11 14:02:27
TRD-APE-10029,Apex_Securities,AAPL,155,182.56,2026-05-10 22:39:20
TRD-APE-10030,Apex_Securities,AMZN,56,296.07,2026-05-11 06:25:30
TRD-APE-10031,Apex_Securities,AAPL,365,153.75,2026-05-11 03:00:02
TRD-APE-10032,Apex_Securities,TSLA,91,399.17,2026-05-10 19:34:08
TRD-APE-10033,Apex_Securities,GOOGL,354,392.64,2026-05-10 21:30:22
TRD-APE-10034,Apex_Securities,GOOGL,224,90.33,2026-05-11 07:16:41
TRD-APE-10035,Apex_Securities,GOOGL,432,74.92,2026-05-11 14:26:18
