TradeID,Broker,Symbol,Quantity,Price,TradeTimestamp
TRD-BEA-10000,Beacon_Trades,AAPL,156,419.04,2026-05-11 00:08:04
TRD-BEA-10001,Beacon_Trades,GOOGL,477,260.67,2026-05-11 07:47:09
TRD-BEA-10002,Beacon_Trades,AMZN,363,,2026-05-11 10:21:07
TRD-BEA-10003,Beacon_Trades,AMZN,93,86.5,2026-05-11 16:18:40
TRD-BEA-10004,Beacon_Trades,TSLA,146,247.89,2026-05-11 17:05:15
TRD-BEA-10005,Beacon_Trades,TSLA,390,301.73,2026-05-11 14:56:37
TRD-BEA-10006,Beacon_Trades,GOOGL,282,267.78,2026-05-11 11:47:00
TRD-BEA-10007,Beacon_Trades,MSFT,173,246.05,2026-05-10 20:11:04
TRD-BEA-10008,Beacon_Trades,MSFT,391,422.73,2026-05-11 07:00:55
TRD-BEA-10009,Beacon_Trades,GOOGL,92,163.98,2026-05-11 03:44:04
TRD-BEA-10010,Beacon_Trades,AMZN,417,140.41,2026-05-11 11:50:44
TRD-BEA-10011,Beacon_Trades,GOOGL,214,252.52,2026-05-11 10:22:21
TRD-BEA-10012,Beacon_Trades,MSFT,353,135.46,2026-05-11 13:54:07
TRD-BEA-10013,Beacon_Trades,MSFT,147,107.53,2026-05-10 20:53:00
TRD-BEA-10014,Beacon_Trades,TSLA,310,85.42,2026-05-10 21:44:49
TRD-BEA-10015,Beacon_Trades,GOOGL,261,132.78,2026-05-11 11:16:41
TRD-BEA-10016,Beacon_Trades,AMZN,284,228.48,2026-05-11 03:56:34
TRD-BEA-10017,Beacon_Trades,TSLA,252,162.87,2026-05-11 09:45:02
TRD-BEA-10018,Beacon_Trades,GOOGL,88,173.53,2026-05-10 23:52:53
TRD-BEA-10019,Beacon_Trades,TSLA,100,477.19,2026-05-11 14:55:09
TRD-BEA-10020,Beacon_Trades,AMZN,76,318.16,2026-05-11 09:28:39
TRD-BEA-10021,Beacon_Trades,MSFT,365,238.93,2026-05-11 07:03:42
TRD-BEA-10022,Beacon_Trades,AAPL,262,268.96,2026-05-11 07:38:26
TRD-BEA-10023,Beacon_Trades,TSLA,202,408.5,2026-05-11 15:41:51
TRD-BEA-10024,Beacon_Trades,GOOGL,121,179.66,2026-05-11 05:49:15
TRD-BEA-10025,Beacon_Trades,GOOGL,382,432.66,2026-05-11 15:12:06
TRD-BEA-10026,Beacon_Trades,AMZN,332,397.64,2026-05-11 12:52:56
TRD-BEA-10027,Beacon_Trades,AMZN,53,156.74,2026-05-10 18:54:06
TRD-BEA-10028,Beacon_Trades,GOOGL,16,368.36,2026-05-11 00:52:13
TRD-BEA-10029,Beacon_Trades,TSLA,447,379.61,2026-05-11 05:14:10
TRD-BEA-10030,Beacon_Trades,MSFT,309,123.6,2026-05-11 03:17:24
TRD-BEA-10031,Beacon_Trades,AAPL,441,215.78,2026-05-11 02:53:01
TRD-BEA-10032,Beacon_Trades,MSFT,328,319.9,2026-05-11 13:55:46
TRD-BEA-10033,Beacon_Trades,AMZN,496,441.53,2026-05-11 00:51:44
TRD-BEA-10034,Beacon_Trades,MSFT,496,444.16,2026-05-11 14:56:54
TRD-BEA-10035,Beacon_Trades,MSFT,128,93.55,2026-05-11 03:32:38
TRD-BEA-10036,Beacon_Trades,GOOGL,56,476.44,2026-05-10 23:26:25
TRD-BEA-10037,Beacon_Trades,AAPL,401,99.04,2026-05-10 23:21:36
TRD-BEA-10038,Beacon_Trades,TSLA,461,144.43,2026-05-11 06:13:59
TRD-BEA-10039,Beacon_Trades,AMZN,168,199.31,2026-05-11 05:31:39
TRD-BEA-10040,Beacon_Trades,MSFT,216,164.94,2026-05-11 05:56:04
TRD-BEA-10041,Beacon_Trades,MSFT,45,247.47,2026-05-11 06:03:26
TRD-BEA-10042,Beacon_Trades,MSFT,300,193.81,2026-05-11 05:24:06
TRD-BEA-10043,Beacon_Trades,AMZN,474,65.86,2026-05-11 16:20:49
TRD-BEA-10044,Beacon_Trades,TSLA,346,327.88,2026-05-11 06:38:35
