TradeID,Broker,Symbol,Quantity,Price,TradeTimestamp
TRD-HOR-10000,Horizon_Brokers,MSFT,236,104.0,2026-05-11 11:10:42
TRD-HOR-10001,Horizon_Brokers,MSFT,35,498.62,2026-05-11 13:19:44
TRD-HOR-10002,Horizon_Brokers,TSLA,462,176.79,2026-05-11 13:48:39
TRD-HOR-10003,Horizon_Brokers,AMZN,120,252.57,2026-05-11 00:48:55
TRD-HOR-10004,Horizon_Brokers,TSLA,66,433.54,2026-05-11 07:42:56
TRD-HOR-10005,Horizon_Brokers,GOOGL,87,88.61,2026-05-11 12:58:25
TRD-HOR-10006,Horizon_Brokers,MSFT,181,131.42,2026-05-11 15:13:18
TRD-HOR-10007,Horizon_Brokers,AMZN,310,460.24,2026-05-11 01:26:39
TRD-HOR-10008,Horizon_Brokers,MSFT,449,74.15,2026-05-11 13:24:40
TRD-HOR-10009,Horizon_Brokers,TSLA,481,367.1,2026-05-11 08:09:18
TRD-HOR-10010,Horizon_Brokers,AAPL,69,464.16,2026-05-11 06:58:51
TRD-HOR-10011,Horizon_Brokers,AAPL,27,402.87,2026-05-10 18:45:00
TRD-HOR-10012,Horizon_Brokers,MSFT,48,439.59,2026-05-10 20:03:38
TRD-HOR-10013,Horizon_Brokers,TSLA,222,294.97,2026-05-10 22:32:31
TRD-HOR-10014,Horizon_Brokers,MSFT,282,389.62,2026-05-11 05:51:04
TRD-HOR-10015,Horizon_Brokers,AAPL,213,93.99,2026-05-11 14:55:39
TRD-HOR-10016,Horizon_Brokers,GOOGL,215,231.28,2026-05-10 18:55:31
TRD-HOR-10017,Horizon_Brokers,AAPL,235,77.07,2026-05-11 13:31:39
TRD-HOR-10018,Horizon_Brokers,AMZN,33,82.36,2026-05-11 05:40:13
TRD-HOR-10019,Horizon_Brokers,MSFT,68,452.79,2026-05-10 18:55:06
TRD-HOR-10020,Horizon_Brokers,AAPL,172,435.85,2026-05-10 21:21:19
TRD-HOR-10021,Horizon_Brokers,AAPL,412,278.75,2026-05-10 20:46:11
TRD-HOR-10022,Horizon_Brokers,GOOGL,363,414.91,2026-05-10 20:56:01
TRD-HOR-10023,Horizon_Brokers,GOOGL,331,224.02,2026-05-11 03:05:38
TRD-HOR-10024,Horizon_Brokers,AMZN,144,242.01,2026-05-10 23:40:01
TRD-HOR-10025,Horizon_Brokers,AMZN,422,367.57,2026-05-10 23:01:58
TRD-HOR-10026,Horizon_Brokers,MSFT,408,130.75,2026-05-11 08:27:20
TRD-HOR-10027,Horizon_Brokers,GOOGL,317,383.09,2026-05-11 03:02:35
TRD-HOR-10028,Horizon_Brokers,TSLA,50,275.39,2026-05-11 13:20:58
TRD-HOR-10029,Horizon_Brokers,AMZN,110,274.35,2026-05-10 23:18:58
TRD-HOR-10030,Horizon_Brokers,AAPL,129,328.01,2026-05-11 02:13:06
TRD-HOR-10031,Horizon_Brokers,GOOGL,433,300.8,2026-05-11 16:57:48
TRD-HOR-10032,Horizon_Brokers,AMZN,414,158.34,2026-05-11 08:08:31
TRD-HOR-10033,Horizon_Brokers,GOOGL,213,206.72,2026-05-11 10:42:08
TRD-HOR-10034,Horizon_Brokers,AAPL,383,358.62,2026-05-10 23:25:46
TRD-HOR-10035,Horizon_Brokers,TSLA,168,180.86,2026-05-11 10:41:18
TRD-HOR-10036,Horizon_Brokers,AMZN,317,318.08,2026-05-10 22:13:21
TRD-HOR-10037,Horizon_Brokers,AAPL,341,,2026-05-10 23:15:29
TRD-HOR-10038,Horizon_Brokers,GOOGL,167,98.03,2026-05-11 16:06:04
TRD-HOR-10039,Horizon_Brokers,TSLA,52,142.24,2026-05-10 18:07:16
TRD-HOR-10040,Horizon_Brokers,TSLA,139,81.11,2026-05-11 08:23:11
TRD-HOR-10041,Horizon_Brokers,MSFT,434,51.04,2026-05-11 01:22:56
TRD-HOR-10042,Horizon_Brokers,GOOGL,366,479.83,2026-05-11 10:47:44
TRD-HOR-10043,Horizon_Brokers,AMZN,11,378.1,2026-05-10 21:01:26
TRD-HOR-10044,Horizon_Brokers,TSLA,90,181.64,2026-05-10 23:13:44
TRD-HOR-10045,Horizon_Brokers,AAPL,273,106.09,2026-05-11 08:41:16
TRD-HOR-10046,Horizon_Brokers,AAPL,115,487.85,2026-05-11 00:12:13
TRD-HOR-10047,Horizon_Brokers,GOOGL,421,447.77,2026-05-11 01:25:03
TRD-HOR-10048,Horizon_Brokers,MSFT,246,382.85,2026-05-11 03:35:50
TRD-HOR-10049,Horizon_Brokers,TSLA,117,103.37,2026-05-10 22:53:09
TRD-HOR-10050,Horizon_Brokers,AAPL,108,208.7,2026-05-11 07:36:56
TRD-HOR-10051,Horizon_Brokers,TSLA,95,253.83,2026-05-11 06:06:07
TRD-HOR-10052,Horizon_Brokers,MSFT,109,168.62,2026-05-11 00:42:09
TRD-HOR-10053,Horizon_Brokers,AMZN,243,,2026-05-10 23:31:41
TRD-HOR-10054,Horizon_Brokers,AMZN,281,485.93,2026-05-11 07:48:53
TRD-HOR-10055,Horizon_Brokers,GOOGL,136,122.72,2026-05-11 13:32:05
TRD-HOR-10056,Horizon_Brokers,TSLA,56,200.55,2026-05-11 00:15:51
TRD-HOR-10057,Horizon_Brokers,GOOGL,247,445.01,2026-05-11 04:09:20
TRD-HOR-10058,Horizon_Brokers,GOOGL,113,417.56,2026-05-11 00:22:31
TRD-HOR-10059,Horizon_Brokers,MSFT,262,475.65,2026-05-11 04:40:41
TRD-HOR-10060,Horizon_Brokers,AAPL,178,483.75,2026-05-11 05:46:29
TRD-HOR-10061,Horizon_Brokers,MSFT,413,448.43,2026-05-10 21:28:16
TRD-HOR-10062,Horizon_Brokers,AMZN,393,276.86,2026-05-11 17:12:25
TRD-HOR-10063,Horizon_Brokers,TSLA,208,137.34,2026-05-11 14:10:52
TRD-HOR-10064,Horizon_Brokers,MSFT,179,280.84,2026-05-11 08:38:53
TRD-HOR-10065,Horizon_Brokers,AAPL,414,403.01,2026-05-11 02:31:08
TRD-HOR-10066,Horizon_Brokers,MSFT,88,391.1,2026-05-11 04:24:52
TRD-HOR-10067,Horizon_Brokers,AMZN,318,412.33,2026-05-10 18:22:05
TRD-HOR-10068,Horizon_Brokers,AMZN,286,370.1,2026-05-11 00:21:28
TRD-HOR-10069,Horizon_Brokers,AAPL,339,490.76,2026-05-10 20:25:01
TRD-HOR-10070,Horizon_Brokers,TSLA,100,457.33,2026-05-11 06:25:04
TRD-HOR-10071,Horizon_Brokers,AMZN,137,83.57,2026-05-11 13:18:48
TRD-HOR-10072,Horizon_Brokers,TSLA,248,457.54,2026-05-11 02:56:29
TRD-HOR-10073,Horizon_Brokers,GOOGL,491,230.9,2026-05-11 08:43:53
TRD-HOR-10074,Horizon_Brokers,AMZN,467,271.91,2026-05-11 02:07:30
TRD-HOR-10075,Horizon_Brokers,AMZN,491,247.64,2026-05-11 04:40:45
TRD-HOR-10076,Horizon_Brokers,MSFT,267,171.3,2026-05-11 00:40:32
TRD-HOR-10077,Horizon_Brokers,AMZN,330,245.56,2026-05-10 21:05:55
TRD-HOR-10078,Horizon_Brokers,MSFT,182,480.5,2026-05-10 18:22:50
TRD-HOR-10079,Horizon_Brokers,AAPL,105,402.0,2026-05-10 22:24:07
TRD-HOR-10080,Horizon_Brokers,AMZN,366,265.44,2026-05-10 21:55:20
TRD-HOR-10081,Horizon_Brokers,GOOGL,339,288.71,2026-05-11 13:17:39
TRD-HOR-10082,Horizon_Brokers,AMZN,477,280.91,2026-05-10 17:28:46
TRD-HOR-10083,Horizon_Brokers,AAPL,83,245.67,2026-05-11 16:43:30
TRD-HOR-10084,Horizon_Brokers,AAPL,118,202.21,2026-05-11 16:37:28
TRD-HOR-10085,Horizon_Brokers,AMZN,268,188.08,2026-05-11 09:33:11
TRD-HOR-10086,Horizon_Brokers,TSLA,268,232.92,2026-05-11 07:16:27
