TradeID,Broker,Symbol,Quantity,Price,TradeTimestamp
TRD-SUM-10000,Summit_Clearing,GOOGL,365,214.28,2026-05-11 11:33:42
TRD-SUM-10001,Summit_Clearing,AMZN,248,478.79,2026-05-11 13:03:37
TRD-SUM-10002,Summit_Clearing,MSFT,400,87.47,2026-05-11 17:16:43
TRD-SUM-10003,Summit_Clearing,AMZN,349,151.32,2026-05-11 10:11:03
TRD-SUM-10004,Summit_Clearing,MSFT,268,411.54,2026-05-10 21:30:21
TRD-SUM-10005,Summit_Clearing,TSLA,344,497.06,2026-05-11 00:52:00
TRD-SUM-10006,Summit_Clearing,AAPL,38,412.89,2026-05-11 01:54:15
TRD-SUM-10007,Summit_Clearing,GOOGL,253,256.84,2026-05-11 00:49:24
TRD-SUM-10008,Summit_Clearing,TSLA,412,318.07,2026-05-10 20:38:33
TRD-SUM-10009,Summit_Clearing,MSFT,41,,2026-05-11 00:46:43
TRD-SUM-10010,Summit_Clearing,MSFT,56,320.73,2026-05-11 05:13:49
TRD-SUM-10011,Summit_Clearing,AAPL,290,305.12,2026-05-11 16:13:01
TRD-SUM-10012,Summit_Clearing,AMZN,98,394.53,2026-05-11 17:04:20
TRD-SUM-10013,Summit_Clearing,GOOGL,457,388.36,2026-05-11 12:34:11
TRD-SUM-10014,Summit_Clearing,GOOGL,478,330.22,2026-05-11 00:50:35
TRD-SUM-10015,Summit_Clearing,TSLA,44,306.26,2026-05-11 13:49:22
TRD-SUM-10016,Summit_Clearing,GOOGL,140,302.33,2026-05-11 01:44:46
TRD-SUM-10017,Summit_Clearing,AMZN,156,186.77,2026-05-11 08:56:06
TRD-SUM-10018,Summit_Clearing,GOOGL,267,288.82,2026-05-10 21:16:32
TRD-SUM-10019,Summit_Clearing,MSFT,420,230.58,2026-05-11 13:40:14
TRD-SUM-10020,Summit_Clearing,MSFT,199,337.85,2026-05-11 04:14:06
TRD-SUM-10021,Summit_Clearing,AMZN,178,234.57,2026-05-11 03:06:45
