TradeID,Broker,Symbol,Quantity,Price,TradeTimestamp
TRD-VAN-10000,Vanguard_Feeds,MSFT,418,59.31,2026-05-10 21:44:47
TRD-VAN-10001,Vanguard_Feeds,AAPL,321,,2026-05-10 18:53:10
TRD-VAN-10002,Vanguard_Feeds,TSLA,383,330.95,2026-05-11 11:29:40
TRD-VAN-10003,Vanguard_Feeds,MSFT,204,183.51,2026-05-11 15:30:53
TRD-VAN-10004,Vanguard_Feeds,AMZN,93,185.35,2026-05-10 23:51:35
TRD-VAN-10005,Vanguard_Feeds,MSFT,42,,2026-05-11 13:38:36
TRD-VAN-10006,Vanguard_Feeds,GOOGL,235,85.98,2026-05-11 13:11:29
TRD-VAN-10007,Vanguard_Feeds,AMZN,214,153.62,2026-05-11 02:44:46
TRD-VAN-10008,Vanguard_Feeds,GOOGL,394,494.23,2026-05-11 13:54:33
TRD-VAN-10009,Vanguard_Feeds,MSFT,254,402.07,2026-05-11 01:11:36
TRD-VAN-10010,Vanguard_Feeds,GOOGL,106,50.9,2026-05-11 01:20:22
TRD-VAN-10011,Vanguard_Feeds,TSLA,327,443.7,2026-05-10 19:29:46
TRD-VAN-10012,Vanguard_Feeds,AMZN,66,286.63,2026-05-10 23:53:16
TRD-VAN-10013,Vanguard_Feeds,TSLA,233,484.8,2026-05-11 03:27:54
TRD-VAN-10014,Vanguard_Feeds,MSFT,208,61.44,2026-05-11 06:12:31
TRD-VAN-10015,Vanguard_Feeds,TSLA,27,298.96,2026-05-11 12:05:03
TRD-VAN-10016,Vanguard_Feeds,TSLA,213,172.15,2026-05-11 06:26:12
TRD-VAN-10017,Vanguard_Feeds,GOOGL,16,137.51,2026-05-11 13:55:38
TRD-VAN-10018,Vanguard_Feeds,AMZN,54,252.01,2026-05-11 06:28:40
TRD-VAN-10019,Vanguard_Feeds,TSLA,276,400.2,2026-05-11 15:07:48
TRD-VAN-10020,Vanguard_Feeds,AAPL,85,424.16,2026-05-11 14:37:52
TRD-VAN-10021,Vanguard_Feeds,AMZN,364,241.8,2026-05-11 04:04:44
TRD-VAN-10022,Vanguard_Feeds,GOOGL,450,292.62,2026-05-11 07:52:37
TRD-VAN-10023,Vanguard_Feeds,TSLA,419,317.54,2026-05-11 16:38:33
TRD-VAN-10024,Vanguard_Feeds,GOOGL,32,153.61,2026-05-11 13:29:36
TRD-VAN-10025,Vanguard_Feeds,AMZN,294,331.05,2026-05-11 08:55:19
TRD-VAN-10026,Vanguard_Feeds,MSFT,282,173.37,2026-05-10 22:54:32
TRD-VAN-10027,Vanguard_Feeds,AAPL,106,146.43,2026-05-11 11:15:11
TRD-VAN-10028,Vanguard_Feeds,AMZN,93,246.53,2026-05-11 07:41:38
TRD-VAN-10029,Vanguard_Feeds,MSFT,251,52.42,2026-05-11 13:37:11
TRD-VAN-10030,Vanguard_Feeds,AAPL,88,266.65,2026-05-11 02:43:08
TRD-VAN-10031,Vanguard_Feeds,GOOGL,165,422.17,2026-05-11 09:56:36
TRD-VAN-10032,Vanguard_Feeds,AMZN,377,83.52,2026-05-11 08:26:43
TRD-VAN-10033,Vanguard_Feeds,MSFT,451,466.89,2026-05-10 22:50:57
TRD-VAN-10034,Vanguard_Feeds,TSLA,493,180.05,2026-05-11 08:07:13
