Broker,TradeID,Issue_Type,Severity
Apex,TRD-APE-10039,Missing Price,CRITICAL
Apex,TRD-APE-10046,Missing Price,CRITICAL
Apex,TRD-APE-10249,Missing Price,CRITICAL
Apex,TRD-APE-10329,Missing Price,CRITICAL
Apex,TRD-APE-10423,Missing Price,CRITICAL
Apex,TRD-APE-10433,Missing Price,CRITICAL
Apex,TRD-APE-10482,Missing Price,CRITICAL
Apex,TRD-APE-10491,Missing Price,CRITICAL
Apex,TRD-APE-10505,Missing Price,CRITICAL
Apex,TRD-APE-10563,Missing Price,CRITICAL
Apex,TRD-APE-10610,Missing Price,CRITICAL
Apex,TRD-APE-10616,Missing Price,CRITICAL
Apex,TRD-APE-10684,Missing Price,CRITICAL
Apex,TRD-APE-10787,Missing Price,CRITICAL
Apex,TRD-APE-10803,Missing Price,CRITICAL
Apex,TRD-APE-10820,Missing Price,CRITICAL
Apex,TRD-APE-10970,Missing Price,CRITICAL
Apex,TRD-APE-10977,Missing Price,CRITICAL
Apex,TRD-APE-10979,Missing Price,CRITICAL
Apex,TRD-APE-10143,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10261,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10275,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10298,Price Anomaly: 999999.99,HIGH
Apex,TRD-APE-10305,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10466,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10615,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10618,Price Anomaly: 999999.99,HIGH
Apex,TRD-APE-10627,Price Anomaly: 999999.99,HIGH
Apex,TRD-APE-10643,Price Anomaly: 999999.99,HIGH
Apex,TRD-APE-10648,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10709,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10919,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10955,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10919,Price Anomaly: -50.0,HIGH
Apex,TRD-APE-10240,Duplicate Trade ID,MEDIUM
Apex,TRD-APE-10253,Duplicate Trade ID,MEDIUM
Apex,TRD-APE-10290,Duplicate Trade ID,MEDIUM
Apex,TRD-APE-10700,Duplicate Trade ID,MEDIUM
Apex,TRD-APE-10919,Duplicate Trade ID,MEDIUM
Beacon,TRD-BEA-10002,Missing Price,CRITICAL
Beacon,TRD-BEA-10073,Missing Price,CRITICAL
Beacon,TRD-BEA-10087,Missing Price,CRITICAL
Beacon,TRD-BEA-10150,Missing Price,CRITICAL
Beacon,TRD-BEA-10187,Missing Price,CRITICAL
